Name,RUID,Gender,GPA,Permit,Car Manufacturer,License Plate,Credits
Abigail Hill,154001261,Female,3.1,Busch,Ford,R4VDYR,10
Abigail Hudson,154001266,Female,2.87,Busch,Chevrolet,JKYMKK,10
Abigail Hughes,154001269,Female,3.69,Busch,Mazda,1YXDWH,10
Abigail Roberts,154001280,Female,3.59,Livingston,Ford,1QK9DH,10
Abigail Springer,154001287,Female,3,Cook,Chevrolet,LF42R1,10
Abigail Turner,154001289,Female,2.51,College Avenue,Audi,E1AX62,10
Adam Anderson,154001318,Male,2.94,Busch,Jeep,EUXX1C,10
Adam Blake,154001321,Male,3.71,Livingston,Toyota,JNVCD0,10
Adam Hudson,154001327,Male,2.51,Livingston,Mercedes,0YM7S8,10
Adam Lee,154001331,Male,3.93,Busch,Subaru,CH146P,10
Adam Lewis,154001339,Male,2.68,Livingston,Mazda,B5JT43,10
Adam Martin,154001351,Male,2.94,Douglass,Ford,QMRPPL,10
Adam Mills,154001358,Male,2.85,Cook,Volvo,Q5HZ93,10
Adam Payne,154001379,Male,2.32,Livingston,Mazda,O3CAMB,10
Adam Peake,154001385,Male,1.69,Busch,Audi,KG2TP1,10
Adam Russell,154001399,Male,1.7,Busch,BMW,HVCK5N,10
Adrian Butler,154001409,Male,1.47,Livingston,Honda,ZY09GC,10
Adrian Davidson,154001424,Male,2.55,Livingston,Hyundai,NNFBQO,10
Adrian Harris,154001436,Male,1.58,Livingston,Toyota,ZBIK0D,10
Adrian Hart,154001454,Male,1.63,Cook,Hyundai,ISAVT5,10
Adrian Howard,154001457,Male,0.81,Busch,Audi,N64GRA,10
Adrian Hudson,154001463,Male,0.91,Busch,Hyundai,491RI1,10
Adrian Kelly,154001471,Male,3.89,Busch,Honda,JVB3VC,10
Adrian Lee,154001478,Male,3.54,Livingston,Honda,454CFD,10
Adrian Mathis,154001480,Male,3.9,Cook,Toyota,48HMRB,10
Adrian McLean,154001484,Male,3.58,Busch,Toyota,3IYOFJ,10
Adrian Miller,154001492,Male,3.73,Busch,Subaru,77JTSL,10
Adrian Quinn,154001505,Male,3.95,Busch,Mazda,2WWD4X,10
Adrian Randall,154001520,Male,3.82,Busch,Volvo,H093K9,10
Adrian Terry,154001548,Male,3.69,Busch,Honda,Y1GMVJ,10
Adrian Vaughan,154001568,Male,3.73,Livingston,Ford,DLOEMA,10
Adrian Young,154001575,Male,3.92,Busch,Mazda,7P9ISY,10
Alan Allan,154001596,Male,3.88,Douglass,Subaru,AONAW8,10
Alan Arnold,154001599,Male,3.87,Livingston,Honda,NHNAHI,10
Alan Blake,154001608,Male,3.56,Busch,Honda,PGSSSK,10
Alan Bond,154001624,Male,3.55,Douglass,Mazda,85WXMB,10
Alan Dyer,154001628,Male,3.61,Douglass,Toyota,21NTGT,10
Alan Langdon,154001630,Male,3.6,Livingston,Chevrolet,5WYHQD,10
Alan MacDonald,154001656,Male,3.93,Busch,Toyota,AEOFSM,10
Alan Metcalfe,154001685,Male,3.58,Busch,Ford,IPGCAU,10
Alan Powell,154001688,Male,3.74,Busch,Toyota,OP1CFJ,10
Alan Roberts,154001709,Male,3.73,Cook,Audi,VKGCBH,10
Alan Simpson,154001713,Male,3.72,Cook,Chevrolet,PFZRVZ,10
Alan Smith,154001733,Male,3.81,Livingston,Mazda,2NBLJ8,10
Alan White,154001739,Male,3.52,Busch,Mazda,C9YLCW,10
Alexander Bell,154001744,Male,3.66,Cook,Honda,L7OA5Y,10
Alexander Brown,154001757,Male,3.61,Cook,Honda,ZFG5NN,10
Alexander Burgess,154001776,Male,3.88,Busch,BMW,V2S3AJ,10
Alexander Coleman,154001779,Male,3.99,Busch,Mazda,VFFK7J,10
Alexander Ellison,154001795,Male,3.59,Livingston,BMW,KFIMS2,10
Alexander Graham,154001799,Male,3.65,Busch,Toyota,UQSJSQ,10
Alexander Grant,154001806,Male,3.62,Busch,Subaru,WPBKHJ,10
Alexander Hamilton,154001819,Male,3.95,Busch,Hyundai,FBWB4Y,10
Alexander Hart,154001821,Male,3.99,Cook,Hyundai,TTT45L,10
Alexander Jackson,154001823,Male,3.5,Cook,Ford,X9Q0C6,10
Alexander Nolan,154001833,Male,3.61,Busch,Volvo,GN5SLZ,10
Alexander Ogden,154001834,Male,3.8,Busch,Hyundai,HT3HK0,10
Alexander Parsons,154001842,Male,3.82,Busch,Jeep,Q8KKDA,10
Alexander Peters,154001850,Male,3.68,Douglass,Jeep,1PXG9E,10
Alexander Powell,154001864,Male,3.62,Busch,Hyundai,56DB6V,10
Alexander Ross,154001891,Male,3.66,Busch,Toyota,HSNXYZ,10
Alexander Sharp,154001904,Male,3.89,Douglass,Honda,QY1WWZ,10
Alexander Springer,154001912,Male,3.68,Busch,Ford,19ZEA0,10
Alexander Thomson,154001928,Male,3.8,Busch,Chevrolet,QCC6YV,10
Alexander Tucker,154001929,Male,3.98,Livingston,Jeep,MM274P,10
Alexander Underwood,154001936,Male,3.66,Busch,Ford,OW5WKO,10
Alexander Wilkins,154001950,Male,3.55,Busch,Ford,03CVPU,10
Alexandra Glover,154001972,Female,3.81,Douglass,Toyota,YNBLRK,10
Alexandra Graham,154001975,Female,3.62,Busch,Hyundai,9PS0DQ,10
Alexandra Harris,154001977,Female,3.76,Douglass,BMW,8OI04F,10
Alexandra Hill,154001980,Female,3.63,Busch,Ford,IFS3KF,10
Alexandra Mackay,154002012,Female,3.69,Livingston,Ford,Z71864,10
Alexandra May,154002047,Female,3.73,Busch,Mazda,YRE9ME,10
Alexandra Mitchell,154002066,Female,3.89,Busch,Chevrolet,V6SRHN,10
Alexandra Morrison,154002072,Female,3.77,Busch,Subaru,BT3YCQ,10
Alexandra Parsons,154002076,Female,3.78,Busch,Mazda,K7APLT,10
Alexandra Payne,154002081,Female,3.99,Busch,Ford,AG0NPI,10
Alexandra Reid,154002097,Female,3.68,Busch,Toyota,BLQ0IS,10
Alexandra Tucker,154002098,Female,3.77,College Avenue,Toyota,W1V86L,10
Alexandra Welch,154002108,Female,3.54,Busch,Chevrolet,WD3QIE,10
Alexandra White,154002111,Female,3.92,Busch,Hyundai,CRS75I,10
Alison Black,154002124,Female,3.96,Busch,Mercedes,O8F4GC,10
Alison Burgess,154002153,Female,3.91,Livingston,Mazda,XLAWAS,10
Alison Cameron,154002158,Female,3.52,Busch,Honda,4PWJ6Q,10
Alison Edmunds,154002159,Female,3.63,Busch,Mazda,WJ22KB,10
Alison Howard,154002164,Female,3.91,Busch,Ford,2YIK2I,10
Alison Hunter,154002165,Female,3.59,Busch,Audi,EO5EBI,10
Alison Langdon,154002176,Female,3.92,Busch,Subaru,2LGGCA,10
Alison Murray,154002181,Female,3.57,Busch,Toyota,R8V8SI,10
Alison Nash,154002191,Female,3.64,College Avenue,Mazda,ESZAXX,10
Alison Peake,154002221,Female,3.54,Busch,Audi,RFJS2B,10
Alison Randall,154002222,Female,3.92,Livingston,Hyundai,U1E28E,10
Alison Rees,154002234,Female,3.71,Busch,Honda,Q2M37D,10
Alison Stewart,154002240,Female,3.61,College Avenue,Chevrolet,HC7NCG,10
Alison Wilkins,154002242,Female,3.59,Douglass,Toyota,4NDFF1,10
Amanda Dowd,154002243,Female,3.58,Busch,Mazda,VQRD12,10
Amanda Dyer,154002257,Female,3.67,Cook,Toyota,OBQRCF,10
Amanda Murray,154002262,Female,3.72,Busch,Ford,TGO1PT,10
Amanda Paige,154002264,Female,3.65,Livingston,BMW,AZ9LOE,10
Amanda Poole,154002266,Female,3.8,Busch,Honda,XA1586,10
Amanda Sanderson,154002269,Female,3.88,Douglass,Honda,WWBJXN,10
Amanda Smith,154002273,Female,3.61,Cook,Chevrolet,82KT8X,10
Amanda Thomson,154002287,Female,3.52,College Avenue,Chevrolet,1OJ1ME,10
Amelia Bailey,154002291,Female,3.81,College Avenue,Audi,U90LNH,10
Amelia Bower,154002295,Female,3.6,Douglass,Jeep,SW51RU,10
Amelia Carr,154002306,Female,3.84,Busch,Hyundai,F4EOUM,10
Amelia Duncan,154002313,Female,3.5,Busch,Subaru,GRF7QO,10
Amelia Harris,154002326,Female,3.6,Douglass,Ford,NBGURB,10
Amelia Hart,154002344,Female,3.54,Livingston,Mazda,AMLPIS,10
Amelia Lambert,154002345,Female,3.69,Busch,Ford,80HDCM,10
Amelia Lawrence,154002356,Female,3.92,Douglass,Honda,9HP3HT,10
Amelia MacLeod,154002371,Female,3.98,Busch,Ford,UGPRV1,10
Amelia Mills,154002379,Female,3.68,Cook,Ford,YDKPQB,10
Amelia Morrison,154002381,Female,3.54,College Avenue,Mazda,X0H0Y1,10
Amelia Ogden,154002384,Female,3.55,Livingston,Ford,F142IE,10
Amelia Oliver,154002385,Female,3.92,Livingston,BMW,B1KXR7,10
Amelia Randall,154002389,Female,3.59,Busch,Ford,LT2C3T,10
Amelia Underwood,154002398,Female,3.66,Douglass,Toyota,C9KRMY,10
Amy Abraham,154002405,Female,3.54,College Avenue,Ford,249ZVC,10
Amy Bower,154002410,Female,3.66,Douglass,Honda,UIVQ34,10
Amy Butler,154002411,Female,3.86,Douglass,Lamborghini,UQHUJS,10
Amy Carr,154002428,Female,3.67,Busch,Ford,ME3RU3,10
Amy Clark,154002441,Female,3.57,Busch,Hyundai,72A1GM,10
Amy Gill,154002448,Female,3.93,Douglass,Honda,DRTDAF,10
Amy Glover,154002456,Female,3.86,Busch,Mazda,5Z08SG,10
